holding_id,holding_type,mainland_zanzibar,region,stratum_id,ea_id,weight,s2q10__1,s2q10__2,s2q10__3,s2q10__4,s2q10__5,s2q10__6,s2q10__7,s20q08,s20q09
59-71-98-16,Household,"Mainland, Tanzania",Morogoro,872,8143,730,No,No,No,No,No,No,Yes,,
59-75-19-89,Household,Zanzibar,Mjini Magharibi,340,2606,136,No,No,No,No,No,No,Yes,No,
59-76-60-90,Household,Zanzibar,Kusini Unguja,333,3846,383,No,No,No,No,No,No,Yes,,
59-76-82-10,Household,"Mainland, Tanzania",Dar es Salaam,102,3046,315,No,No,No,No,No,No,Yes,,
59-77-55-30,Household,"Mainland, Tanzania",Lindi,584,3306,773,No,No,No,No,No,No,Yes,No,
59-77-91-35,Household,"Mainland, Tanzania",Dar es Salaam,102,3191,1037,No,No,No,No,No,No,Yes,,
59-79-55-80,Household,Zanzibar,Mjini Magharibi,533,3282,153,No,No,No,No,No,No,Yes,,
59-81-38-81,Household,"Mainland, Tanzania",Dar es Salaam,153,5553,451,No,No,No,No,No,No,Yes,,
59-81-44-01,Household,"Mainland, Tanzania",Morogoro,872,3144,992,No,No,No,No,No,No,Yes,,
59-82-09-52,Household,Zanzibar,Mjini Magharibi,533,6581,86,No,No,No,No,No,No,Yes,,
59-87-76-82,Large Farm,"Mainland, Tanzania",,,3266,,,,,,,,,No,
59-88-40-38,Household,"Mainland, Tanzania",Tanga,657,2186,303,No,No,No,No,No,No,Yes,No,
59-91-43-59,Large Farm,"Mainland, Tanzania",,,3266,,,,,,,,,No,
59-93-29-45,Household,Zanzibar,Kusini Unguja,333,5822,67,No,No,No,No,No,No,Yes,,
59-93-74-21,Large Farm,"Mainland, Tanzania",,,3266,,,,,,,,,No,
59-94-85-14,Household,Zanzibar,Kusini Unguja,314,2927,53,No,No,No,No,No,No,Yes,No,
59-94-90-86,Household,"Mainland, Tanzania",Manyara,471,6850,409,No,No,No,No,No,No,Yes,,
59-95-60-90,Large Farm,Zanzibar,,,3266,,,,,,,,,No,
59-95-64-49,Household,"Mainland, Tanzania",Songwe,249,5564,164,No,No,No,No,No,No,Yes,No,
59-95-80-32,Household,"Mainland, Tanzania",Dar es Salaam,153,5735,641,No,No,No,No,No,No,Yes,,
59-96-18-94,Household,"Mainland, Tanzania",Lindi,388,6825,1152,No,No,No,No,No,No,Yes,No,
59-96-43-44,Large Farm,"Mainland, Tanzania",,,3266,,,,,,,,,No,
59-98-91-53,Large Farm,"Mainland, Tanzania",,,3266,,,,,,,,,No,
59-99-69-38,Large Farm,"Mainland, Tanzania",,,3266,,,,,,,,,No,
60-00-69-54,Household,"Mainland, Tanzania",Singida,788,5794,523,No,No,No,No,No,No,Yes,No,
60-01-44-66,Large Farm,"Mainland, Tanzania",,,3266,,,,,,,,,No,
60-01-69-06,Household,"Mainland, Tanzania",Lindi,388,2313,1476,No,No,No,No,No,No,Yes,,
60-04-11-75,Large Farm,"Mainland, Tanzania",,,3266,,,,,,,,,No,
60-04-26-02,Household,"Mainland, Tanzania",Mwanza,114,6437,719,No,No,No,No,No,No,Yes,,
60-08-59-41,Large Farm,"Mainland, Tanzania",,,3266,,,,,,,,,No,
60-10-80-86,Large Farm,"Mainland, Tanzania",,,3266,,,,,,,,,No,
